EpochGMT,Weekday,Holiday name
1451606400,Friday,New Year's Day
1454716800,Saturday,Carnival Saturday
1454803200,Sunday,Carnival Sunday
1454889600,Monday,Carnival Monday
1454976000,Tuesday,Carnival Tuesday
1455062400,Wednesday,Carnival end (until 2pm)
1458432000,Sunday,March equinox
1458864000,Friday,Good Friday
1459036800,Sunday,Easter Sunday
1461196800,Thursday,Tiradentes Day
1462060800,Sunday,Labor Day / May Day
1462665600,Sunday,Mother's Day
1464220800,Thursday,Corpus Christi
1465689600,Sunday,Brazilian Valentine's Day
1466380800,Monday,June Solstice
1470355200,Friday,Rio 2016 Summer Olympics start
1471132800,Sunday,Father's Day
1471737600,Sunday,Rio 2016 Summer Olympics end
1473206400,Wednesday,Independence Day
1473206400,Wednesday,Rio 2016 Summer Paralympics start
1474156800,Sunday,Rio 2016 Summer Paralympics end
1474502400,Thursday,September equinox
1476230400,Wednesday,Our Lady Aparecida/Children's Day
1476489600,Saturday,Teacher's Day
1477612800,Friday,Public Service Holiday
1478044800,Wednesday,All Souls Day
1479168000,Tuesday,Republic Proclamation Day
1479600000,Sunday,Black Consciousness Day
1482278400,Wednesday,December Solstice
1482537600,Saturday,Christmas Eve (from 2pm)
1482624000,Sunday,Christmas Day
1482710400,Monday,Christmas Day observed
1483142400,Saturday,New Year's Eve (from 2pm)
