EpochGMT,Weekday,Holiday name
1451606400,Friday,New Year's Day
1451692800,Saturday,New Year's weekend
1451779200,Sunday,New Year's weekend
1454803200,Sunday,Spring Festival Eve
1454889600,Monday,Chinese New Year
1454976000,Tuesday,Spring Festival Golden Week holiday
1455062400,Wednesday,Spring Festival Golden Week holiday
1455148800,Thursday,Spring Festival Golden Week holiday
1455235200,Friday,Spring Festival Golden Week holiday
1455235200,Friday,Spring Festival Golden Week holiday
1455321600,Saturday,Spring Festival Golden Week holiday
1455321600,Saturday,Spring Festival Golden Week holiday
1456099200,Monday,Lantern Festival
1457395200,Tuesday,International Women's Day
1457568000,Thursday,Zhonghe Festival
1457740800,Saturday,Arbor Day
1458432000,Sunday,March equinox
1459555200,Saturday,Qing Ming Jie
1459641600,Sunday,Qing Ming Jie holiday
1461974400,Saturday,Labour Day Holiday
1462060800,Sunday,Labour Day
1462147200,Monday,Labour Day Holiday
1462320000,Wednesday,Youth Day
1464739200,Wednesday,Children's Day
1465430400,Thursday,Dragon Boat Festival
1465516800,Friday,Dragon Boat Festival holiday
1465603200,Saturday,Dragon Boat Festival holiday
1466380800,Monday,June Solstice
1467331200,Friday,CPC Founding Day
1468195200,Monday,Maritime Day
1470009600,Monday,Army Day
1470700800,Tuesday,Double Seven Festival
1471392000,Wednesday,Spirit Festival
1473465600,Saturday,Teachers' Day
1473897600,Thursday,Mid-Autumn Festival
1473984000,Friday,Mid-Autumn Festival holiday
1474070400,Saturday,Mid-Autumn Festival holiday
1474502400,Thursday,September equinox
1475280000,Saturday,National Day
1475366400,Sunday,National Day Golden Week holiday
1475452800,Monday,National Day Golden Week holiday
1475539200,Tuesday,National Day Golden Week holiday
1475625600,Wednesday,National Day Golden Week holiday
1475712000,Thursday,National Day Golden Week holiday
1475798400,Friday,National Day Golden Week holiday
1475971200,Sunday,Double Ninth Festival
1478563200,Tuesday,Journalists' Day
1482278400,Wednesday,December Solstice
1482624000,Sunday,Christmas Day
