EpochGMT,Weekday,Holiday name
1451606400,Friday,New Year's Day
1451865600,Monday,World Braille Day
1452038400,Wednesday,Epiphany
1452124800,Thursday,Orthodox Christmas Day
1452124800,Thursday,International Programmers' Day
1452643200,Wednesday,Stephen Foster Memorial Day
1452729600,Thursday,Orthodox New Year
1452816000,Friday,Lee Jackson Day
1452988800,Sunday,World Religion Day
1453075200,Monday,Martin Luther King Day
1453075200,Monday,Robert E Lee's Birthday
1453075200,Monday,State Holiday
1453075200,Monday,Idaho Human Rights Day
1453075200,Monday,Civil Rights Day
1453161600,Tuesday,Robert E Lee's Birthday
1453161600,Tuesday,State Holiday
1453680000,Monday,Tu Bishvat/Tu B'Shevat
1453766400,Tuesday,International Customs Day
1453852800,Wednesday,International Day of Commemoration in Memory of the Victims of the Holocaust
1454025600,Friday,Kansas Day
1454198400,Sunday,World Leprosy Day
1454284800,Monday,National Freedom Day
1454371200,Tuesday,World Wetlands Day
1454371200,Tuesday,Groundhog Day
1454544000,Thursday,World Cancer Day
1454544000,Thursday,Rosa Parks Day
1454630400,Friday,National Wear Red Day
1454716800,Saturday,International Day of Zero Tolerance to Female Genital Mutilation
1454889600,Monday,Chinese New Year
1454976000,Tuesday,Shrove Tuesday/Mardi Gras
1454976000,Tuesday,Shrove Tuesday/Mardi Gras
1454976000,Tuesday,Shrove Tuesday/Mardi Gras
1455062400,Wednesday,Ash Wednesday
1455148800,Thursday,World Day of the Sick
1455235200,Friday,Lincoln's Birthday
1455235200,Friday,Lincoln's Birthday
1455321600,Saturday,World Radio Day
1455408000,Sunday,Valentine's Day
1455408000,Sunday,Statehood Day in Arizona
1455494400,Monday,Presidents' Day
1455494400,Monday,Daisy Gatson Bates Day
1455494400,Monday,Susan B Anthony's Birthday
1455926400,Saturday,World Day of Social Justice
1456012800,Sunday,International Mother Language Day
1456617600,Sunday,Linus Pauling Day
1456704000,Monday,Leap Day
1456790400,Tuesday,Zero Discrimination Day
1456790400,Tuesday,Self-injury Awareness Day
1456790400,Tuesday,St. David's Day
1456790400,Tuesday,Town Meeting Day Vermont
1456876800,Wednesday,Texas Independence Day
1456876800,Wednesday,Read Across America Day
1456963200,Thursday,World Wildlife Day
1457049600,Friday,Employee Appreciation Day
1457308800,Monday,Casimir Pulaski Day
1457395200,Tuesday,International Women's Day
1457568000,Thursday,World Kidney Day
1457827200,Sunday,Daylight Saving Time starts
1458172800,Thursday,St. Patrick's Day
1458172800,Thursday,Evacuation Day
1458345600,Saturday,Earth Hour
1458432000,Sunday,Palm Sunday
1458432000,Sunday,March equinox
1458432000,Sunday,International Day of Happiness
1458518400,Monday,International Day for the Elimination of Racial Discrimination
1458518400,Monday,World Poetry Day
1458518400,Monday,International Day of Nowruz
1458518400,Monday,World Down Syndrome Day
1458518400,Monday,International Day of Forests
1458604800,Tuesday,World Water Day
1458691200,Wednesday,World Meteorological Day
1458777600,Thursday,Maundy Thursday
1458777600,Thursday,Purim
1458777600,Thursday,World Tuberculosis Day
1458777600,Thursday,International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims
1458864000,Friday,International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade
1458864000,Friday,International Day of Solidarity with Detained and Missing Staff Members
1458864000,Friday,Good Friday
1458864000,Friday,Maryland Day
1458864000,Friday,Prince Jonah Kuhio Kalanianaoles dag observed
1458950400,Saturday,Holy Saturday
1458950400,Saturday,Prince Jonah Kuhio Kalanianaoles dag
1459036800,Sunday,Easter Sunday
1459123200,Monday,Easter Monday
1459123200,Monday,Seward's Day
1459382400,Thursday,César Chávez Day
1459468800,Friday,April Fool's Day
1459468800,Friday,Pascua Florida Day observed
1459555200,Saturday,World Autism Awareness Day
1459555200,Saturday,Pascua Florida Day
1459728000,Monday,United Nations' Mine Awareness Day
1459900800,Wednesday,International Day of Sport for Development and Peace
1459900800,Wednesday,National Tartan Day
1459987200,Thursday,United Nations' World Health Day
1459987200,Thursday,Day of Remembrance of the Victims of the Rwanda Genocide
1460419200,Tuesday,International Day of Human Space Flight
1460419200,Tuesday,National Library Workers' Day
1460505600,Wednesday,Thomas Jefferson's Birthday
1460678400,Friday,Global Youth Service Day
1460678400,Friday,Father Damien Day
1460678400,Friday,Emancipation Day observed
1460764800,Saturday,Emancipation Day
1460937600,Monday,International Day for Monuments and Sites
1460937600,Monday,Tax Day
1460937600,Monday,Patriot's Day
1461110400,Wednesday,Chinese Language Day
1461196800,Thursday,San Jacinto Day
1461283200,Friday,Earth Day
1461283200,Friday,Oklahoma Day
1461369600,Saturday,Passover (first day)
1461369600,Saturday,World Book and Copyright Day
1461369600,Saturday,English Language Day
1461542400,Monday,World Malaria Day
1461542400,Monday,Confederate Memorial Day
1461542400,Monday,State Holiday
1461542400,Monday,State Holiday
1461628800,Tuesday,World Intellectual Property Day
1461628800,Tuesday,State Holiday
1461715200,Wednesday,Administrative Professionals Day
1461801600,Thursday,World Day for Safety and Health at Work
1461801600,Thursday,Take our Daughters and Sons to Work Day
1461888000,Friday,Orthodox Good Friday
1461888000,Friday,Day of Remembrance for all Victims of Chemical Warfare
1461888000,Friday,Arbor Day
1461974400,Saturday,Last Day of Passover
1461974400,Saturday,Orthodox Holy Saturday
1461974400,Saturday,International Jazz Day
1462060800,Sunday,Orthodox Easter
1462060800,Sunday,Law Day
1462060800,Sunday,Loyalty Day
1462147200,Monday,Orthodox Easter Monday
1462233600,Tuesday,World Press Freedom Day
1462233600,Tuesday,Primary Election Day Indiana
1462320000,Wednesday,Yom HaShoah
1462320000,Wednesday,Kent State Shootings Remembrance
1462320000,Wednesday,Rhode Island Independence Day
1462406400,Thursday,Ascension Day
1462406400,Thursday,Isra and Mi'raj
1462406400,Thursday,Cinco de Mayo
1462406400,Thursday,National Day of Prayer
1462492800,Friday,National Nurses Day
1462579200,Saturday,National Explosive Ordnance Disposal (EOD) Day
1462665600,Sunday,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War
1462665600,Sunday,World Ovarian Cancer Day
1462665600,Sunday,Mother's Day
1462665600,Sunday,Truman Day
1462752000,Monday,Truman Day observed
1462838400,Tuesday,State Holiday
1462838400,Tuesday,State Holiday
1462838400,Tuesday,Primary Election Day West Virginia
1463011200,Thursday,Yom Ha'atzmaut
1463097600,Friday,Friday the 13th
1463184000,Saturday,World Migratory Bird Day
1463270400,Sunday,Pentecost
1463270400,Sunday,International Day of Families
1463270400,Sunday,Peace Officers Memorial Day
1463356800,Monday,Whit Monday
1463443200,Tuesday,World Information Society Day
1463702400,Friday,Day of Vesak
1463702400,Friday,World Autoimmune Arthritis Day
1463702400,Friday,National Defense Transportation Day
1463788800,Saturday,World Day for Cultural Diversity for Dialogue and Development
1463788800,Saturday,Armed Forces Day
1463875200,Sunday,Trinity Sunday
1463875200,Sunday,International Day for Biological Diversity
1463875200,Sunday,National Maritime Day
1463875200,Sunday,Harvey Milk Day
1463961600,Monday,International Day to End Obstetric Fistula
1464134400,Wednesday,African Liberation Day
1464134400,Wednesday,Emergency Medical Services for Children Day
1464134400,Wednesday,National Missing Children's Day
1464220800,Thursday,Corpus Christi
1464220800,Thursday,Lag BaOmer
1464480000,Sunday,International Day of United Nations Peacekeepers
1464566400,Monday,Memorial Day
1464566400,Monday,Jefferson Davis Birthday
1464652800,Tuesday,World No Tobacco Day
1464739200,Wednesday,Global Day of Parents
1464739200,Wednesday,Statehood Day
1464912000,Friday,Jefferson Davis Birthday
1464998400,Saturday,International Day of Innocent Children Victims of Aggression
1465084800,Sunday,World Environment Day
